nom	id	theme	v25	v2026
<Fenêtre>.EdDésélectionneTout	1000022317	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	0	1
<Fenêtre>.EdDo	1000022327	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	0	1
<Fenêtre>.EdRedo	1000022328	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	0	1
<Fenêtre>.EdRestaure	1000022329	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	0	1
<Fenêtre>.EdSauve	1000022330	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	0	1
<Fenêtre>.EdSelect	1000022331	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	0	1
<Fenêtre>.EdSelectMoins	1000022332	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	0	1
<Fenêtre>.EdSelectOccurrence	1000022333	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	0	1
<Fenêtre>.EdSelectPlus	1000022334	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	0	1
<Fenêtre>.EdUndo	1000022335	manipulation de l'UI par l'utilisateur final (syntaxe préfixée)	0	1
<Fenêtre>.ExtHaut	1410088867	gestion des fenêtres (syntaxe préfixée)	0	1
<Fenêtre>.ExtLarg	1410090624	gestion des fenêtres (syntaxe préfixée)	0	1
<Fenêtre>.ExtPosX	1410090628	gestion des fenêtres (syntaxe préfixée)	0	1
<Fenêtre>.ExtPosY	1410090625	gestion des fenêtres (syntaxe préfixée)	0	1
<Fenêtre>.Iconise	1000023884	gestion des fenêtres (syntaxe préfixée)	1	1
<Fenêtre>.ImageFenêtre	1000023885	gestion des fenêtres (syntaxe préfixée)	1	1
<Fenêtre>.IntHaut	1410090629	gestion des fenêtres (syntaxe préfixée)	0	1
<Fenêtre>.IntLarg	1410090626	gestion des fenêtres (syntaxe préfixée)	0	1
<Fenêtre>.IntPosX	1410088866	gestion des fenêtres (syntaxe préfixée)	0	1
<Fenêtre>.IntPosY	1410090627	gestion des fenêtres (syntaxe préfixée)	0	1
<Fenêtre>.Maximise	1000023886	gestion des fenêtres (syntaxe préfixée)	1	1
<Fenêtre>.MDIOuvre	3052007	MDI (syntaxe préfixée)	1	1
<Fenêtre>.Ouvre	1000023903	gestion des fenêtres (syntaxe préfixée)	0	1
<Fenêtre>.OuvreAsynchrone	1410087862	gestion des fenêtres (syntaxe préfixée)	0	1
<Fenêtre>.OuvreFenêtreMobile	1000023887	gestion des fenêtres (syntaxe préfixée)	1	1
<Fenêtre>.OuvreFille	1000023904	gestion des fenêtres (syntaxe préfixée)	0	1
<Fenêtre>.OuvrePopupAsynchrone	1410087873	gestion des fenêtres (syntaxe préfixée)	0	1
<Fenêtre>.OuvrePopupPosition	1410087874	gestion des fenêtres (syntaxe préfixée)	0	1
<Fenêtre>.OuvreSoeur	1410086669	gestion des fenêtres (syntaxe préfixée)	0	1
<Fenêtre>.PaletteRécupère	1410091003	Palette (syntaxe préfixée)	0	1
<Fenêtre>.Repeint	1000023634	gestion des fenêtres (syntaxe préfixée)	1	1
<Fenêtre>.Restaure	1000023888	gestion des fenêtres (syntaxe préfixée)	1	1
<Fenêtre>.VersFichier	1000021385	liaison (syntaxe préfixée)	0	1
<Fenêtre>.VersSource	1000021386	liaison (syntaxe préfixée)	0	1
<Fenetre interne>.ChangeFenêtreSource	1000020950		0	1
<Fenêtre/Page>.DepuisFichier	1000021387	liaison (syntaxe objet)	1	0
<Fenêtre/Page>.VersFichier	1000021385	liaison (syntaxe objet)	1	0
<Fenêtre/Page>.VersSource	1000021386	liaison (syntaxe objet)	1	0
<Graphe>.AjouteDonnée	1000023533	gestion des graphes (syntaxe préfixée)	1	1
<Graphe>.AjouteDonnéeTemporelle	1000024162	gestion des graphes (syntaxe préfixée)	1	1
<Graphe>.AngleDépart	1410088091	gestion des graphes (syntaxe préfixée)	0	1
<Graphe>.AxePosition	1000023563	gestion des graphes (syntaxe préfixée)	1	1
<Graphe>.AxeVisible	1000023564	gestion des graphes (syntaxe préfixée)	1	1
<Graphe>.BourseAjouteDonnée	1000023565	gestion des graphes (syntaxe préfixée)	1	1
<Graphe>.BourseRécupèreDonnée	1000023566	gestion des graphes (syntaxe préfixée)	1	1
<Graphe>.Bulle	1000024163	gestion des graphes (syntaxe préfixée)	1	1
<Graphe>.ChargeParamètre	1000023568	gestion des graphes (syntaxe préfixée)	1	1
<Graphe>.ComparatifPositionSérie	1000024961	gestion des graphes (syntaxe préfixée)	0	1
